"GENESIS-Tabelle: Tempor�r";;;;;
"Arbeitslose, Arbeitslosenquoten, Gemeldete Stellen:";;;;;
"Bundesl�nder, Jahre";;;;;
"Arbeitsmarktstatistik der Bundesagentur f�r Arbeit";;;;;
;;"Arbeitslose";"Arbeitslosenquote aller zivilen Erwerbspersonen";"Arbeitslosenquote d. abh�ngigen ziv. Erwerbspers.";"Gemeldete Stellen"
;;"Anzahl";"Prozent";"Prozent";"Anzahl"
"Baden-W�rttemberg";1991;159318;-0;"3,7";77904
"Baden-W�rttemberg";1992;191970;-0;"4,4";64122
"Baden-W�rttemberg";1993;281496;-0;"6,3";37952
"Baden-W�rttemberg";1994;333416;"6,7";"7,5";37827
"Baden-W�rttemberg";1995;328298;"6,6";"7,4";44777
"Baden-W�rttemberg";1996;353919;"7,2";"8,0";44838
"Baden-W�rttemberg";1997;382008;"7,8";"8,7";48993
"Baden-W�rttemberg";1998;351464;"7,1";"8,0";62728
"Baden-W�rttemberg";1999;324710;"6,5";"7,3";69880
"Baden-W�rttemberg";2000;281500;"5,4";"6,0";78669
"Baden-W�rttemberg";2001;264301;"4,9";"5,5";73514
"Baden-W�rttemberg";2002;295005;"5,4";"6,1";57496
"Baden-W�rttemberg";2003;336881;"6,2";"6,9";37759
"Baden-W�rttemberg";2004;340943;"6,2";"6,9";29907
"Baden-W�rttemberg";2005;385271;"7,0";"7,8";34493
"Baden-W�rttemberg";2006;348697;"6,3";"7,1";45575
"Baden-W�rttemberg";2007;271641;"4,9";"5,5";58452
"Baden-W�rttemberg";2008;228608;"4,1";"4,6";59759
"Baden-W�rttemberg";2009;284124;"5,1";"5,7";40390
"Baden-W�rttemberg";2010;272622;"4,9";"5,4";51546
"Bayern";1991;214780;-0;"4,4";78419
"Bayern";1992;243224;-0;"4,9";78041
"Bayern";1993;322667;-0;"6,4";59974
"Bayern";1994;360862;"6,1";"7,1";52385
"Bayern";1995;355881;"6,0";"7,0";56603
"Bayern";1996;401991;"6,8";"7,9";55968
"Bayern";1997;442283;"7,5";"8,7";56256
"Bayern";1998;415430;"7,0";"8,1";67395
"Bayern";1999;384587;"6,4";"7,4";78037
"Bayern";2000;339537;"5,5";"6,3";89588
"Bayern";2001;332569;"5,3";"6,0";83001
"Bayern";2002;386696;"6,0";"6,9";65845
"Bayern";2003;447262;"6,9";"7,9";45871
"Bayern";2004;449680;"6,9";"7,9";33620
"Bayern";2005;504974;"7,8";"8,9";39774
"Bayern";2006;446461;"6,8";"7,8";51857
"Bayern";2007;349756;"5,3";"6,1";63784
"Bayern";2008;276270;"4,2";"4,8";55214
"Bayern";2009;319143;"4,8";"5,5";40580
"Bayern";2010;299387;"4,5";"5,1";50629
"Berlin";1991;179953;-0;"10,6";9852
"Berlin";1992;207058;-0;"12,4";12798
"Berlin";1993;203924;-0;"12,8";11454
"Berlin";1994;210130;"12,1";"13,2";12508
"Berlin";1995;213383;"12,4";"13,6";10694
"Berlin";1996;235999;"13,8";"15,2";8307
"Berlin";1997;265665;"15,6";"17,3";6714
"Berlin";1998;273118;"16,1";"17,9";9288
"Berlin";1999;268174;"15,9";"17,7";7370
"Berlin";2000;264819;"15,8";"17,6";4982
"Berlin";2001;272330;"16,1";"17,9";5286
"Berlin";2002;288285;"16,9";"18,9";6400
"Berlin";2003;306556;"18,1";"20,2";6408
"Berlin";2004;298661;"17,7";"19,9";4389
"Berlin";2005;319178;"19,0";"21,5";7124
"Berlin";2006;293476;"17,5";"20,1";11480
"Berlin";2007;260266;"15,5";"17,9";11772
"Berlin";2008;233392;"13,8";"16,1";9281
"Berlin";2009;236764;"14,0";"16,4";8520
"Berlin";2010;231304;"13,6";"15,9";9973
"Brandenburg";1991;141172;-0;"10,3";5101
"Brandenburg";1992;182342;-0;"14,8";4732
"Brandenburg";1993;180418;-0;"15,3";5258
"Brandenburg";1994;178842;"14,5";"15,3";7487
"Brandenburg";1995;164608;"13,4";"14,2";9930
"Brandenburg";1996;187051;"15,2";"16,2";8821
"Brandenburg";1997;218148;"17,6";"18,9";8072
"Brandenburg";1998;220444;"17,6";"18,8";10861
"Brandenburg";1999;223102;"17,4";"18,7";8546
"Brandenburg";2000;226451;"17,0";"18,4";4398
"Brandenburg";2001;233650;"17,4";"18,8";5038
"Brandenburg";2002;237903;"17,5";"19,1";6374
"Brandenburg";2003;252967;"18,8";"20,4";5840
"Brandenburg";2004;250709;"18,7";"20,3";4431
"Brandenburg";2005;243875;"18,2";"19,9";4678
"Brandenburg";2006;226454;"17,0";"18,7";7274
"Brandenburg";2007;198100;"14,7";"16,4";7019
"Brandenburg";2008;174447;"12,9";"14,4";6820
"Brandenburg";2009;164585;"12,3";"13,6";7061
"Brandenburg";2010;148749;"11,1";"12,3";8588
"Bremen";1991;31629;-0;"10,7";4149
"Bremen";1992;31532;-0;"10,7";3993
"Bremen";1993;36638;-0;"12,4";2217
"Bremen";1994;40155;"12,7";"13,7";1555
"Bremen";1995;40343;"12,9";"14,0";1781
"Bremen";1996;44374;"14,2";"15,6";2013
"Bremen";1997;46951;"15,4";"16,8";2352
"Bremen";1998;46328;"15,2";"16,6";3537
"Bremen";1999;43867;"14,3";"15,7";4412
"Bremen";2000;41144;"13,0";"14,3";4681
"Bremen";2001;39820;"12,4";"13,5";4976
"Bremen";2002;40452;"12,5";"13,7";4672
"Bremen";2003;42378;"13,2";"14,4";3094
"Bremen";2004;42280;"13,2";"14,4";2498
"Bremen";2005;53223;"16,8";"18,4";2664
"Bremen";2006;47719;"14,9";"16,3";4306
"Bremen";2007;41028;"12,7";"13,9";5772
"Bremen";2008;36773;"11,4";"12,5";4724
"Bremen";2009;38190;"11,8";"13,0";3504
"Bremen";2010;38706;"12,0";"13,2";3724
"Hamburg";1991;63013;-0;"8,7";7730
"Hamburg";1992;57441;-0;"7,9";7116
"Hamburg";1993;62929;-0;"8,6";4629
"Hamburg";1994;71204;"8,7";"9,8";4196
"Hamburg";1995;77773;"9,5";"10,7";4775
"Hamburg";1996;83942;"10,4";"11,7";4839
"Hamburg";1997;92520;"11,6";"13,0";5106
"Hamburg";1998;90516;"11,3";"12,7";6389
"Hamburg";1999;84082;"10,4";"11,7";7957
"Hamburg";2000;74681;"8,9";"10,0";10630
"Hamburg";2001;70669;"8,3";"9,3";9688
"Hamburg";2002;77502;"9,0";"10,2";9132
"Hamburg";2003;86376;"9,9";"11,3";6726
"Hamburg";2004;84258;"9,7";"11,0";7512
"Hamburg";2005;98228;"11,3";"12,9";8702
"Hamburg";2006;96028;"11,0";"12,6";16485
"Hamburg";2007;81055;"9,1";"10,5";21286
"Hamburg";2008;72870;"8,1";"9,4";19235
"Hamburg";2009;78456;"8,6";"10,0";14507
"Hamburg";2010;75508;"8,2";"9,5";14138
"Hessen";1991;123264;-0;"5,1";26735
"Hessen";1992;136825;-0;"5,5";26980
"Hessen";1993;177061;-0;"7,0";19873
"Hessen";1994;208675;"7,3";"8,2";16876
"Hessen";1995;213222;"7,6";"8,4";21114
"Hessen";1996;234083;"8,3";"9,3";21143
"Hessen";1997;260796;"9,3";"10,4";21381
"Hessen";1998;254123;"9,0";"10,0";26021
"Hessen";1999;239316;"8,3";"9,4";30650
"Hessen";2000;214928;"7,3";"8,1";34733
"Hessen";2001;200588;"6,6";"7,4";33111
"Hessen";2002;213667;"7,0";"7,8";26857
"Hessen";2003;242043;"7,9";"8,8";20616
"Hessen";2004;250923;"8,2";"9,1";16932
"Hessen";2005;296724;"9,7";"10,9";22494
"Hessen";2006;284201;"9,2";"10,4";27424
"Hessen";2007;234211;"7,5";"8,5";32412
"Hessen";2008;203273;"6,5";"7,4";32746
"Hessen";2009;209947;"6,8";"7,6";24493
"Hessen";2010;119933;"6,4";"7,2";30821
"Mecklenburg-Vorpommern";1991;128303;-0;"12,5";3827
"Mecklenburg-Vorpommern";1992;163163;-0;"16,8";3392
"Mecklenburg-Vorpommern";1993;151996;-0;"17,5";4043
"Mecklenburg-Vorpommern";1994;143600;"16,2";"17,0";5258
"Mecklenburg-Vorpommern";1995;132850;"15,3";"16,1";5724
"Mecklenburg-Vorpommern";1996;147786;"16,8";"18,0";6610
"Mecklenburg-Vorpommern";1997;168364;"18,9";"20,3";6231
"Mecklenburg-Vorpommern";1998;171150;"19,2";"20,5";9071
"Mecklenburg-Vorpommern";1999;163100;"18,2";"19,4";8574
"Mecklenburg-Vorpommern";2000;163039;"17,8";"19,0";5271
"Mecklenburg-Vorpommern";2001;167977;"18,3";"19,6";6023
"Mecklenburg-Vorpommern";2002;169794;"18,6";"20,0";6172
"Mecklenburg-Vorpommern";2003;181684;"20,1";"21,7";5189
"Mecklenburg-Vorpommern";2004;182632;"20,4";"22,1";4039
"Mecklenburg-Vorpommern";2005;180362;"20,3";"22,1";5117
"Mecklenburg-Vorpommern";2006;167908;"19,0";"20,8";6381
"Mecklenburg-Vorpommern";2007;145685;"16,5";"18,1";7929
"Mecklenburg-Vorpommern";2008;124057;"14,1";"15,5";6417
"Mecklenburg-Vorpommern";2009;117968;"13,5";"14,9";5836
"Mecklenburg-Vorpommern";2010;109851;"12,7";"14,0";6637
"Niedersachsen";1991;244283;-0;"8,1";29445
"Niedersachsen";1992;249792;-0;"8,1";30569
"Niedersachsen";1993;306848;-0;"9,7";25670
"Niedersachsen";1994;340822;"9,6";"10,7";27195
"Niedersachsen";1995;346948;"9,8";"10,9";31213
"Niedersachsen";1996;386244;"10,9";"12,1";33450
"Niedersachsen";1997;413832;"11,6";"12,9";35696
"Niedersachsen";1998;399572;"11,1";"12,3";43646
"Niedersachsen";1999;375604;"10,3";"11,5";46321
"Niedersachsen";2000;350932;"9,3";"10,3";41491
"Niedersachsen";2001;350249;"9,1";"10,0";35012
"Niedersachsen";2002;361839;"9,2";"10,2";34440
"Niedersachsen";2003;379736;"9,6";"10,7";25012
"Niedersachsen";2004;376657;"9,6";"10,6";17034
"Niedersachsen";2005;457097;"11,6";"13,0";18816
"Niedersachsen";2006;417847;"10,5";"11,8";28528
"Niedersachsen";2007;350780;"8,8";"9,8";34078
"Niedersachsen";2008;303084;"7,6";"8,5";34265
"Niedersachsen";2009;307118;"7,7";"8,6";29024
"Niedersachsen";2010;298569;"7,5";"8,3";35298
"Nordrhein-Westfalen";1991;561331;-0;"7,9";68229
"Nordrhein-Westfalen";1992;580473;-0;"8,0";66995
"Nordrhein-Westfalen";1993;703198;-0;"9,6";52304
"Nordrhein-Westfalen";1994;784510;"9,8";"10,7";53530
"Nordrhein-Westfalen";1995;778946;"9,7";"10,6";61289
"Nordrhein-Westfalen";1996;826959;"10,4";"11,4";64922
"Nordrhein-Westfalen";1997;884479;"11,1";"12,2";68587
"Nordrhein-Westfalen";1998;856061;"10,7";"11,7";82768
"Nordrhein-Westfalen";1999;830878;"10,2";"11,2";96001
"Nordrhein-Westfalen";2000;777746;"9,2";"10,1";98518
"Nordrhein-Westfalen";2001;766351;"8,8";"9,6";95927
"Nordrhein-Westfalen";2002;812464;"9,2";"10,1";78304
"Nordrhein-Westfalen";2003;879964;"10,0";"10,9";51511
"Nordrhein-Westfalen";2004;898807;"10,2";"11,2";40941
"Nordrhein-Westfalen";2005;1057642;"12,0";"13,2";51063
"Nordrhein-Westfalen";2006;1012773;"11,4";"12,6";70382
"Nordrhein-Westfalen";2007;851621;"9,5";"10,5";86219
"Nordrhein-Westfalen";2008;757180;"8,5";"9,3";81306
"Nordrhein-Westfalen";2009;800275;"8,9";"9,9";62604
"Nordrhein-Westfalen";2010;779434;"8,7";"9,6";74263
"Rheinland-Pfalz";1991;82334;-0;"5,4";17425
"Rheinland-Pfalz";1992;88985;-0;"5,7";20320
"Rheinland-Pfalz";1993;117703;-0;"7,5";19617
"Rheinland-Pfalz";1994;132876;"7,5";"8,4";19749
"Rheinland-Pfalz";1995;134223;"7,6";"8,5";22629
"Rheinland-Pfalz";1996;149782;"8,5";"9,4";22792
"Rheinland-Pfalz";1997;163768;"9,2";"10,3";24137
"Rheinland-Pfalz";1998;156702;"8,8";"9,7";27279
"Rheinland-Pfalz";1999;149412;"8,2";"9,2";29696
"Rheinland-Pfalz";2000;138370;"7,3";"8,1";23290
"Rheinland-Pfalz";2001;134841;"6,8";"7,6";23267
"Rheinland-Pfalz";2002;143708;"7,2";"8,0";20160
"Rheinland-Pfalz";2003;154674;"7,7";"8,5";14992
"Rheinland-Pfalz";2004;155415;"7,7";"8,6";11063
"Rheinland-Pfalz";2005;178512;"8,8";"9,9";10889
"Rheinland-Pfalz";2006;162927;"8,0";"9,0";12125
"Rheinland-Pfalz";2007;133369;"6,5";"7,3";14296
"Rheinland-Pfalz";2008;116072;"5,6";"6,3";15786
"Rheinland-Pfalz";2009;127213;"6,1";"6,8";13243
"Rheinland-Pfalz";2010;120071;"5,7";"6,4";17048
"Saarland";1991;35981;-0;"8,6";3682
"Saarland";1992;38294;-0;"9,0";4101
"Saarland";1993;47474;-0;"11,2";3175
"Saarland";1994;51470;"11,2";"12,1";2867
"Saarland";1995;49257;"10,7";"11,7";4138
"Saarland";1996;52065;"11,4";"12,4";4191
"Saarland";1997;56539;"12,4";"13,6";4364
"Saarland";1998;52905;"11,5";"12,6";4954
"Saarland";1999;50142;"10,8";"11,9";4838
"Saarland";2000;47778;"9,8";"10,8";5352
"Saarland";2001;44918;"9,0";"9,8";6383
"Saarland";2002;45431;"9,1";"9,9";6029
"Saarland";2003;47728;"9,5";"10,4";4655
"Saarland";2004;45990;"9,2";"10,0";2755
"Saarland";2005;53533;"10,7";"11,7";2782
"Saarland";2006;49681;"9,9";"10,8";2945
"Saarland";2007;42466;"8,4";"9,2";3534
"Saarland";2008;36947;"7,3";"8,0";4004
"Saarland";2009;38994;"7,7";"8,4";3031
"Saarland";2010;37829;"7,5";"8,2";4284
"Sachsen";1991;241227;-0;"9,1";8010
"Sachsen";1992;316512;-0;"13,6";8947
"Sachsen";1993;315664;-0;"14,9";10624
"Sachsen";1994;323370;"14,8";"15,7";16564
"Sachsen";1995;293699;"13,6";"14,4";16465
"Sachsen";1996;322322;"14,9";"15,9";16728
"Sachsen";1997;374139;"17,1";"18,4";16214
"Sachsen";1998;382898;"17,5";"18,8";24154
"Sachsen";1999;379764;"17,2";"18,6";21980
"Sachsen";2000;387868;"17,0";"18,5";15169
"Sachsen";2001;399420;"17,5";"19,0";16364
"Sachsen";2002;405349;"17,8";"19,3";16958
"Sachsen";2003;403480;"17,9";"19,4";12735
"Sachsen";2004;396328;"17,8";"19,4";8065
"Sachsen";2005;402270;"18,3";"20,0";9192
"Sachsen";2006;371909;"17,0";"18,8";15194
"Sachsen";2007;321272;"14,7";"16,3";17509
"Sachsen";2008;278757;"12,8";"14,3";15527
"Sachsen";2009;277730;"12,9";"14,3";13107
"Sachsen";2010;253135;"11,8";"13,1";15457
"Sachsen-Anhalt";1991;167127;-0;"10,3";5372
"Sachsen-Anhalt";1992;217474;-0;"15,3";6240
"Sachsen-Anhalt";1993;224735;-0;"17,2";7070
"Sachsen-Anhalt";1994;225435;"16,7";"17,6";9800
"Sachsen-Anhalt";1995;208149;"15,7";"16,5";9779
"Sachsen-Anhalt";1996;234451;"17,7";"18,8";11190
"Sachsen-Anhalt";1997;270444;"20,3";"21,7";12418
"Sachsen-Anhalt";1998;272209;"20,4";"21,7";16308
"Sachsen-Anhalt";1999;272203;"20,3";"21,7";13192
"Sachsen-Anhalt";2000;272867;"20,2";"21,4";7683
"Sachsen-Anhalt";2001;264557;"19,7";"20,9";8933
"Sachsen-Anhalt";2002;260465;"19,6";"20,9";9415
"Sachsen-Anhalt";2003;268264;"20,5";"21,8";7027
"Sachsen-Anhalt";2004;262763;"20,3";"21,7";4628
"Sachsen-Anhalt";2005;258527;"20,2";"21,7";5196
"Sachsen-Anhalt";2006;231932;"18,3";"19,9";8788
"Sachsen-Anhalt";2007;201247;"15,9";"17,4";8972
"Sachsen-Anhalt";2008;174541;"13,9";"15,2";7954
"Sachsen-Anhalt";2009;167676;"13,6";"14,8";7538
"Sachsen-Anhalt";2010;151277;"12,5";"13,5";8323
"Schleswig-Holstein";1991;80524;-0;"7,3";11044
"Schleswig-Holstein";1992;80737;-0;"7,2";12471
"Schleswig-Holstein";1993;93452;-0;"8,3";10566
"Schleswig-Holstein";1994;102287;"8,1";"9,0";10646
"Schleswig-Holstein";1995;102193;"8,1";"9,1";11954
"Schleswig-Holstein";1996;113083;"8,9";"10,0";11537
"Schleswig-Holstein";1997;126844;"9,9";"11,2";10829
"Schleswig-Holstein";1998;128434;"10,0";"11,2";11666
"Schleswig-Holstein";1999;122123;"9,4";"10,6";13711
"Schleswig-Holstein";2000;114372;"8,5";"9,5";12868
"Schleswig-Holstein";2001;116194;"8,4";"9,4";12327
"Schleswig-Holstein";2002;121630;"8,7";"9,8";11770
"Schleswig-Holstein";2003;136139;"9,7";"10,9";8096
"Schleswig-Holstein";2004;137808;"9,8";"11,1";6246
"Schleswig-Holstein";2005;161524;"11,6";"13,0";7609
"Schleswig-Holstein";2006;140824;"10,0";"11,3";10835
"Schleswig-Holstein";2007;119001;"8,4";"9,5";12779
"Schleswig-Holstein";2008;107260;"7,6";"8,6";11791
"Schleswig-Holstein";2009;110326;"7,8";"8,8";9768
"Schleswig-Holstein";2010;107119;"7,5";"8,5";11601
"Th�ringen";1991;147963;-0;"10,2";5910
"Th�ringen";1992;192748;-0;"15,4";5422
"Th�ringen";1993;192939;-0;"16,3";5028
"Th�ringen";1994;190405;"15,6";"16,5";6308
"Th�ringen";1995;172149;"14,1";"15,0";8442
"Th�ringen";1996;191013;"15,6";"16,7";9930
"Th�ringen";1997;217675;"17,8";"19,1";9760
"Th�ringen";1998;209275;"17,1";"18,3";15540
"Th�ringen";1999;189436;"15,4";"16,5";15213
"Th�ringen";2000;193663;"15,4";"16,5";9540
"Th�ringen";2001;194131;"15,3";"16,5";10118
"Th�ringen";2002;201157;"15,9";"17,2";10757
"Th�ringen";2003;210664;"16,7";"18,1";8219
"Th�ringen";2004;207430;"16,7";"18,1";5577
"Th�ringen";2005;209941;"17,1";"18,6";5791
"Th�ringen";2006;188453;"15,6";"17,0";7409
"Th�ringen";2007;158574;"13,1";"14,4";10295
"Th�ringen";2008;134922;"11,2";"12,3";9438
"Th�ringen";2009;136035;"11,4";"12,6";8129
"Th�ringen";2010;117065;"9,8";"10,9";10811
"_____";;;;;
"Quelle: Bundesagentur f�r Arbeit, N�rnberg";;;;;
;;;;;
"Ab Januar 2005 sind die Daten �ber registrierte Arbeitslose";;;;;
"der Bundesagentur f�r Arbeit auf Grund der Zusammenlegung";;;;;
"von Arbeitslosen- und Sozialhilfe mit fr�heren Daten nicht";;;;;
"mehr vergleichbar. Beachten Sie bitte hierzu die";;;;;
"Informationen zur Arbeitsmarktstatistik der Bundesagentur";;;;;
"f�r Arbeit (Code: 13211).";;;;;
;;;;;
"Gemeldete Stellen:";;;;;
"Ab Berichtsmonat Juli 2010 werden nur noch ungef�rderte";;;;;
"Arbeitsstellen ausgewiesen. Die neue Abgrenzung steht ab";;;;;
"Januar 2000 zur Verf�gung.";;;;;
"_____";;;;;
"(C)opyright Statistisches Bundesamt, Wiesbaden 2011";;;;;
"Stand: 29.06.2011 / 15:23:51";;;;;
